SKILL_20150317_000001	Атака	
SKILL_20150317_000002	[Elite Kepa] 1 раз, Физическая, Отравляющее свойство, Удар
SKILL_20150317_000003	[Rafflesia] Распылить яд
SKILL_20150317_000004	[Rafflesia] Ядовитая бомба
SKILL_20150317_000005	[Raffly] Физическая, Пробивание, Отравляющее свойство, Атака 1 раз
SKILL_20150317_000006	[Raffly] Физическая, Пробивание, Отравляющее свойство, Прыгающая Атака 1 раз
SKILL_20150317_000007	[Puragi] Физическая, Удар, Отравляющее свойство, Нормальная Атака 1 раз
SKILL_20150317_000008	[Puragi] Физическая, Пробивание, Отравляющее свойство, Атака 1 раз
SKILL_20150317_000009	[Puragi] Физическая, Пробивание, Отравляющее свойство, Топот 1 раз
SKILL_20150317_000010	[Zigri] Обычная атака, Конусная AoE
SKILL_20150317_000011	[Zigri] Вращающее пробивание
SKILL_20150317_000012	[Zigri] Прыжок и шокирующий топот
SKILL_20150317_000013	[Fisherman] Физическая, Пробивание, Свойства льда, Пробивающий удар удочкой
SKILL_20150317_000014	[Fisherman] Магическая, Положительный эффект, Магическая, Навык положительного эффекта
SKILL_20150317_000015	[Green Pokuborn] Физическая, Колющая, Свойство света, Атака рогом 1 раз
SKILL_20150317_000016	[Bushspider] Физическая, Пробивание, Свойство земли, Атака 1 раз
SKILL_20150317_000017	[Fragaras] Быстрый укус
SKILL_20150317_000018	[Fragaras] Напыщенно грызть
SKILL_20150317_000019	[Fragaras] Обычная атака, Конусная AoE
SKILL_20150317_000020	Базовая нормальная атака
SKILL_20150317_000021	[Meduja] Магическая, Магическая, Молниеносная Атака 1 раз
SKILL_20150317_000022	[Gribaru] Физическая, Режущий, Молниеносная Атака 1 раз
SKILL_20150317_000023	[Gribaru] Физическая, Режущий, Опрокидывающая Молниеносная Атака, Атака 1 раз
SKILL_20150317_000024	[Bite] Физическая, Колющая, Ядовитая атака 1 раз,
SKILL_20150317_000025	[Banshee] Магическая, Магическая, Свойство льда, Сдувающая атака 1 раз
SKILL_20150317_000026	[Banshee] Магическая, Магическая, Свойство льда, Ледяное копье
SKILL_20150317_000027	[Mini Griba] Физическая, Пробивание, Свойство света, Двойное пробивание 1 раз
SKILL_20150317_000028	[Big Griba] Физическая, Пробивание, Свойство света, Грохот 1 раз
SKILL_20150317_000029	[Big Griba] Физическая, Пробивание, Свойство света,Распыление яда 1 раз
SKILL_20150317_000030	[Big Griba] Физическая, Пробивание, Свойство света,Земляной грохот 1 раз
SKILL_20150317_000031	[Haming] Физическая, Пробивание, Свойство света, Пробивание головой
SKILL_20150317_000032	[Haming] Физическая, Пробивание, Свойство света, Счетчик навыка
SKILL_20150317_000033	[Haming] Физическая, Пробивание, Свойство света, Вращающая атака в прыжке
SKILL_20150317_000034	[Truffle] Физическая, Удар, Свойство света, Бросок
SKILL_20150317_000035	[Truffle] Физическая, Удар, Свойство света, Грохот
SKILL_20150317_000036	[Truffle] Физическая, Удар, Свойство света, Бросок
SKILL_20150317_000037	[Slime_Dark] Физическая, Пробивание, Свойство тьмы, Удар головой
SKILL_20150317_000038	[Slime_Dark] Физическая, Пробивание, Свойство тьмы, Атака 1 раз
SKILL_20150317_000039	[Kepa] Физическая, Пробивание, Отравляющее свойство, Конусная AoE
SKILL_20150317_000040	[Addicted Kepa] Обычная атака, Конусная AoE
SKILL_20150317_000041	[Old Kepa] Физическая, Пробивание, Свойство земли, Окуривать
SKILL_20150317_000042	[Thornball] Физическая, Колющая, Отравляющее свойство, Конусная AoE
SKILL_20150317_000043	[Matsum] Физическая, Пробивание, Свойство огня, Конусная AoE
SKILL_20150317_000044	[Sakmoli] Магическая, Пробивание, Свойство льда, Нормальная Атака 1 раз
